at,scene-type,skipped,role-fillers
00:03:57.237,credits,True,no text in image
00:03:57.737,credits,True,DUPLICATE
00:03:58.238,credits,True,DUPLICATE
00:03:58.738,credits,True,DUPLICATE
00:03:59.239,credits,True,DUPLICATE
00:03:59.739,credits,True,DUPLICATE
00:04:00.240,credits,True,DUPLICATE
00:04:00.740,credits,True,DUPLICATE
00:04:01.241,credits,True,DUPLICATE
00:04:01.741,credits,True,DUPLICATE
00:04:02.242,credits,True,DUPLICATE
00:04:02.742,credits,True,DUPLICATE
00:04:03.243,credits,True,DUPLICATE
00:04:03.743,credits,True,DUPLICATE
00:04:04.244,credits,True,DUPLICATE
00:04:04.744,credits,True,DUPLICATE
00:04:05.245,credits,True,DUPLICATE
00:04:05.745,credits,True,DUPLICATE
00:04:06.246,credits,True,DUPLICATE
00:04:06.746,credits,True,DUPLICATE
00:04:07.247,credits,True,DUPLICATE
00:04:07.747,credits,True,DUPLICATE
00:04:08.248,credits,True,DUPLICATE
00:04:08.748,credits,True,DUPLICATE
00:04:09.249,credits,True,DUPLICATE
00:04:09.749,credits,True,DUPLICATE
00:04:10.250,credits,True,DUPLICATE
00:04:10.750,credits,True,DUPLICATE
