at,scene-type,skipped,role-fillers
00:19:34.174,credits,True,no text in image
00:19:34.674,credits,True,DUPLICATE
00:19:35.175,credits,True,DUPLICATE
00:19:35.675,credits,True,DUPLICATE
00:19:36.176,credits,True,DUPLICATE
00:19:36.676,credits,True,DUPLICATE
00:24:32.472,credits,True,DUPLICATE
00:24:32.972,credits,True,DUPLICATE
00:24:33.473,credits,True,DUPLICATE
00:24:33.973,credits,True,DUPLICATE
00:24:34.474,credits,True,DUPLICATE
00:24:34.974,credits,True,DUPLICATE
00:24:35.475,credits,True,DUPLICATE
00:24:35.975,credits,True,DUPLICATE
00:31:48.908,credits,True,DUPLICATE
00:31:49.409,credits,True,DUPLICATE
00:31:49.909,credits,True,DUPLICATE
00:31:50.410,credits,True,DUPLICATE
00:31:50.910,credits,True,DUPLICATE
00:31:51.411,credits,True,DUPLICATE
00:31:51.911,credits,True,DUPLICATE
00:31:52.412,credits,True,DUPLICATE
00:31:55.915,credits,True,DUPLICATE
00:31:56.416,credits,True,DUPLICATE
00:31:56.916,credits,True,DUPLICATE
00:31:57.417,credits,True,DUPLICATE
00:31:57.917,credits,True,DUPLICATE
00:31:58.418,credits,True,DUPLICATE
00:31:58.918,credits,True,DUPLICATE
00:31:59.419,credits,True,DUPLICATE
00:32:03.923,credits,True,DUPLICATE
00:32:04.424,credits,True,DUPLICATE
00:32:04.924,credits,True,DUPLICATE
00:32:05.425,credits,True,DUPLICATE
00:32:05.925,credits,True,DUPLICATE
00:32:06.426,credits,True,DUPLICATE
00:32:06.926,credits,True,DUPLICATE
00:32:07.427,credits,True,DUPLICATE
00:32:07.927,credits,True,DUPLICATE
00:32:08.428,credits,True,DUPLICATE
