GUID,FRAME,SKIPPED,ANNOTATIONS
cpb-aacip-507-6t0gt5g28c,3510,False,",SHOW,MacNeil
,EPISODE,2026
,EPISODE,""Ford's Vetoes""
,RECORD DATE,10/10
,AIR DATE,10/10
,TAKE,1
,DIRECTOR,Struck"
cpb-aacip-507-6t0gt5g28c,3525,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,3540,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,3555,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,3570,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,3585,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,4860,True,not K-V
cpb-aacip-507-6t0gt5g28c,4875,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,4890,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,4905,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,4920,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,4935,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53610,False,",PRODUCED BY,SHIRLEY WERSHBA
,REPORTER,PATRICIA ELLIS"
cpb-aacip-507-6t0gt5g28c,53625,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53640,False,",DIRECTED BY,DUKE STRUCK"
cpb-aacip-507-6t0gt5g28c,53655,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53670,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53685,False,",EXECUTIVE EDITOR,ROBERT MacNEIL
,ASSOCIATE EDITOR,JIM LEHRER"
cpb-aacip-507-6t0gt5g28c,53700,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53715,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53730,False,",PRODUCERS,JO FRANKLIN
,PRODUCERS,HOWARD WEINBERG
,PRODUCERS,SHIRLEY WERSHBA
,PRODUCERS,LINDA WINSLOW"
cpb-aacip-507-6t0gt5g28c,53745,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53760,False,",REPORTERS,BLYTHE BABYAK
,REPORTERS,CAROL BUCKLAND
,REPORTERS,CRISPIN Y. CAMPBELL
,REPORTERS,PATRICIA ELLIS
,REPORTERS,PAUL LONDON
,REPORTERS,ANNETTE MILLER
,REPORTERS,DAN WERNER
,REPORTERS,JIM WESLEY"
cpb-aacip-507-6t0gt5g28c,53775,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53790,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53805,False,",STATIONS COORDINATOR,CHERYL GRUVER
,ADMINISTRATIVE ASSISTANT,DORIS L. CROSS"
cpb-aacip-507-6t0gt5g28c,53850,False,",PRODUCTION ASSISTANTS,PHILIP BLUMBERG
,PRODUCTION ASSISTANTS,MONICA HOOSE
,PRODUCTION SECRETARIES,JUDY EPSTEIN
,PRODUCTION SECRETARIES,NANCY LEE TORCHIA
,PRODUCTION SECRETARIES,MARTHA VOSS"
cpb-aacip-507-6t0gt5g28c,53865,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53880,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53895,False,",THEME MUSIC COMPOSED BY,BERNARD HOFFER
,MUSIC SUPERVISION,JOHN ADAMS
,SET DESIGNER,ROBERT WIGHTMAN"
cpb-aacip-507-6t0gt5g28c,53910,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53925,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53940,False,",GRAPHIC DESIGNER,MICHAEL COOPER
,LIGHTING CONSULTANT,STAN ALPER
,LIGHTING DIRECTOR,JOHN NOLAN"
cpb-aacip-507-6t0gt5g28c,53955,True,DUPLICATE
cpb-aacip-507-6t0gt5g28c,53970,True,DUPLICATE
