start,end,scene-label,text-transcript
00:03:01.027,00:03:04.527,chyron,Sen. ROBERT DOLE\nMajority Leader
00:04:29.027,00:04:31.527,chyron,Rep. NEWT GINGRINCH\nSpeaker of the House
00:04:57.277,00:05:00.777,chyron,"Sen. PETE DOMENICI\nChairman, Budget Committee"
00:05:13.527,00:05:16.777,chyron,LEON PANETTA\nWhite House Chief of Staff
00:06:08.027,00:06:12.277,chyron,"Sen. ALFONSE D'AMATO\nChairman, Whitewater Committee"
00:06:47.777,00:06:51.027,chyron,Sen. PAUL SARBANES\n(D) Maryland
00:07:46.527,00:07:48.777,chyron,Rep. NEWT GINGRINCH\nSpeaker of the House
00:12:06.027,00:12:10.277,chyron,Sen. JOHN McCAIN\n(R) Arizona
00:14:32.527,00:14:36.027,chyron,Sen. JOHN McCAIN\n(R) Arizona
00:15:50.777,00:15:55.277,chyron,Sen. JOHN McCAIN\n(R) Arizona
00:18:20.527,00:18:24.027,chyron,Sen. JOHN McCAIN\n(R) Arizona
00:19:49.277,00:19:53.277,chyron,WARREN CHRISTOPHER\nSecretary of State
00:20:43.777,00:20:47.027,chyron,WILLIAM PERRY\nSecretary of Defense
00:21:44.527,00:21:48.027,chyron,Rep. ELTON GALLEGLY\n(R) California
00:22:18.277,00:22:22.527,chyron,Rep. TOBY ROTH\n(R) Wisconsin
00:23:40.777,00:23:46.527,chyron,Rep. DUNCAN HUNTER\n(R) California
00:25:42.027,00:25:47.277,chyron,RONALD STEEL\nUniversity of Southern California
00:28:46.527,00:28:50.777,chyron,DONALD KAGAN\nYale University
00:31:15.527,00:31:20.277,chyron,RONALD STEEL\nUniversity of Southern California
00:33:53.027,00:33:58.277,chyron,JOHN LUKACS\nChestnut Hill College
00:36:31.277,00:36:33.527,chyron,DONALD KAGAN\nYale University
00:38:11.777,00:38:15.777,chyron,RONALD STEEL\nUniversity of Southern California
00:42:10.527,00:42:15.277,chyron,Dr. CHRISTINE BERG\nGeorgetown University Medical Center
00:44:52.527,00:44:57.027,chyron,Dr. CHRISTINE BERG\nGeorgetown University Medical Center
00:47:09.277,00:47:11.027,chyron,DAVID GERGEN\nU.S. News & World Report
00:47:22.527,00:47:27.777,chyron,BILL GATES\nAuthor
00:51:44.277,00:51:49.777,chyron,"BILL GATES\n""The Road Ahead"""
