start,end,scene-label,text-transcript
00:03:31.027,00:03:35.527,chyron,NOVEMBER 2010\nRep. John Boehner\nREPUBLICAN LEADER
00:04:16.777,00:04:21.527,chyron,SEPTEMBER 2010\nRep. Jeb Hensarling\n(R) TEXAS
00:05:17.527,00:05:20.027,chyron,NOVEMBER 2010\nSen.-Elect Mike Lee\n(R) UTAH
00:05:45.277,00:05:49.527,chyron,Rep. Rosa DeLauro\n(D) CONNECTICUT
00:06:22.777,00:06:28.027,chyron,Rep. Nancy Pelosi\nSPEAKER OF THE HOUSE
00:07:23.277,00:07:30.777,chyron,Diane Lim Rogers\nTHE CONCORD COALITION
00:08:22.027,00:08:27.777,chyron,James Horney\nCENTER ON BUDGET & POLICY PRIORITIES
00:09:19.777,00:09:26.027,chyron,Diane Lim Rogers\nTHE CONCORD COALITION
00:10:32.277,00:10:37.027,chyron,James Horney\nCENTER ON BUDGET & POLICY PRIORITIES
00:12:29.527,00:12:34.027,chyron,Diane Lim Rogers\nTHE CONCORD COALITION
00:13:15.027,00:13:19.777,chyron,James Horney\nCENTER ON BUDGET & POLICY PRIORITIES
00:15:43.527,00:15:46.277,chyron,Kwame Holman
00:16:07.527,00:16:12.277,chyron,"Adm. John C. Harvey, Jr.\nCOMMANDER, U.S. FLEET FORCES"
00:18:05.777,00:18:10.277,chyron,"Mayor Brad Carter\nROCKHAMPTON, QUEENSLAND"
00:18:47.527,00:18:52.527,chyron,Steve Scott\nITN
00:20:52.777,00:20:58.527,chyron,Sen. Tom Udall\n(D) NEW MEXICO
00:21:29.527,00:21:34.027,chyron,Sen. Lamar Alexander\n(R) TENNESSEE
00:23:51.777,00:23:59.027,chyron,Sen. Tom Udall\n(D) NEW MEXICO
00:24:28.527,00:24:35.027,chyron,Sen. Lamar Alexander\n(R) TENNESSEE
00:29:04.527,00:29:11.027,chyron,Sen. Tom Udall\n(D) NEW MEXICO
00:30:51.277,00:30:55.027,chyron,Sen. Lamar Alexander\n(R) TENNESSEE
00:33:30.777,00:33:33.277,chyron,James Victor Gbeho\nPresident of the ECOWAS Commission
00:34:05.277,00:34:11.277,chyron,PRESIDENT GOODLUCK JONATHAN\nNIGERIA
00:35:47.277,00:35:50.527,chyron,Cornelius Dupree
00:36:28.277,00:36:37.277,chyron,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
00:37:42.277,00:37:53.277,chyron,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
00:39:38.027,00:39:46.777,chyron,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
00:41:53.777,00:41:59.027,chyron,"Craig Watkins\nDISTRICT ATTORNEY, DALLAS COUNTY"
00:44:18.777,00:44:23.527,chyron,Kwame Dawes\nPOET
00:47:37.527,00:47:42.527,chyron,Kwame Dawes\nPOET
