start,end,scene-label,text-transcript
00:09:21.527,00:09:26.277,chyron,Donald Rumsfeld\nSecretary of Defense-designate
00:12:42.527,00:12:47.027,chyron,Gen. George Joulwan (Ret.)\nU.S. Army
00:13:45.277,00:13:48.527,chyron,John Isaacs\nCouncil for a Livable World
00:14:22.777,00:14:27.777,chyron,James Woolsey\nFormer CIA Director
00:15:06.777,00:15:11.027,chyron,James Woolsey\nFormer CIA Director
00:16:33.027,00:16:37.777,chyron,Gen. George Joulwan (Ret.)\nU.S. Army
00:17:41.277,00:17:45.527,chyron,John Isaacs\nCouncil for a Livable World
00:18:56.027,00:19:00.277,chyron,Gen. George Joulwan (Ret.)\nU.S. Army
00:19:18.277,00:19:22.527,chyron,James Woolsey\nFormer CIA Director
00:20:45.027,00:20:50.027,chyron,John Isaacs\nCouncil for a Livable World
00:21:37.777,00:21:40.527,chyron,James Woolsey\nFormer CIA Director
00:22:29.027,00:22:33.777,chyron,Gen. George Joulwan (Ret.)\nU.S. Army
00:23:04.027,00:23:07.277,chyron,John Isaacs\nCouncil for a Livable World
00:23:41.527,00:23:45.777,chyron,James Woolsey\nFormer CIA Director
00:24:48.277,00:24:52.527,chyron,Gen. George Joulwan (Ret.)\nU.S. Army
00:27:44.777,00:27:49.777,chyron,Paul Solman
00:28:16.777,00:28:21.527,chyron,"Vanessa Kirsch\nNew Profit, Inc."
00:28:30.277,00:28:35.277,chyron,"Kelly Fitzsimmons\nNew Profit, Inc."
00:30:04.027,00:30:08.527,chyron,Ned Rimer\nCitizen Schools
00:31:23.777,00:31:29.027,chyron,Robert Kaplan\nHarvard Business School
00:33:16.527,00:33:21.777,chyron,Aaron Lieberman\nJumpstart
00:34:41.277,00:34:45.777,chyron,"Kelly Fitzsimmons\nNew Profit, Inc."
00:35:18.027,00:35:23.527,chyron,"Vanessa Kirsch\nNew Profit, Inc."
00:35:40.527,00:35:45.277,chyron,Peter Karoff\nThe Philanthropic Initiative
00:36:17.527,00:36:20.777,chyron,Lawrencia Bannis\nCitizen Schools Graduate
00:36:30.777,00:36:35.527,chyron,Christopher Clark\nCitizen Schools Graduate
00:37:14.027,00:37:18.277,chyron,Robert Kaplan\nHarvard Business School
00:39:59.027,00:40:03.777,chyron,Joshua Muscat\nAmerican Health Foundation
00:41:28.277,00:41:32.777,chyron,Joshua Muscat\nAmerican Health Foundation
00:42:37.777,00:42:42.527,chyron,Susan Dentzer
00:43:10.527,00:43:13.277,chyron,Elizabeth Farnsworth
00:43:35.777,00:43:39.777,chyron,Richard Norton Smith\nPresidential Historian
00:44:29.777,00:44:34.027,chyron,Haynes Johnson\nJournalist/Author
00:45:08.277,00:45:11.527,chyron,Roger Wilkins\nGeorge Mason University
00:46:24.277,00:46:28.027,chyron,Michael Beschloss\nPresidential Historian
00:47:48.027,00:47:53.527,chyron,Richard Norton Smith\nPresidential Historian
00:49:01.027,00:49:05.527,chyron,Haynes Johnson\nJournalist/Author
00:49:56.527,00:49:59.777,chyron,Roger Wilkins\nGeorge Mason University
00:51:17.777,00:51:20.527,chyron,Richard Norton Smith\nPresidential Historian
00:51:51.277,00:51:55.277,chyron,Michael Beschloss\nPresidential Historian
00:52:46.277,00:52:50.527,chyron,Haynes Johnson\nJournalist/Author
00:53:24.777,00:53:28.527,chyron,Roger Wilkins\nGeorge Mason University
00:53:51.277,00:53:56.277,chyron,Richard Norton Smith\nPresidential Historian
00:54:46.777,00:54:49.777,chyron,Michael Beschloss\nPresidential Historian
