start,end,scene-label,text-transcript
00:03:09.027,00:03:12.527,chyron,MIKE McCURRY\nWhite House Spokesman
00:05:24.527,00:05:28.277,chyron,"JOHN BRUTON\nPrime Minister, Ireland"
00:09:52.277,00:09:57.527,chyron,JOHN KORNBLUM\nActing Asst. Secretary of State
00:14:08.277,00:14:13.027,chyron,JOHN KORNBLUM\nActing Asst. Secretary of State
00:17:14.527,00:17:18.777,chyron,JOHN KORNBLUM\nActing Asst. Secretary of State
00:21:38.277,00:21:40.527,chyron,TONY BLAIR\nOpposition Party Leader
00:22:00.027,00:22:03.277,chyron,BRENDA FLEMING\nAccident and Emergency Consultant
00:22:24.277,00:22:28.527,chyron,ALEX THOMPSON\nITN
00:22:42.277,00:22:46.027,chyron,"JOHN MAJOR\nPrime Minister, Britain"
00:23:27.527,00:23:31.777,chyron,TONY BLAIR\nOpposition Party Leader
00:25:06.027,00:25:09.277,chyron,Rev. MOIRA HERKES\nDunblane Cathedral
00:26:56.527,00:27:00.277,chyron,Sen. ROBERT DOLE\nMajority Leader
00:28:43.527,00:28:47.027,chyron,Sen. KIT BOND\n(R) Missouri
00:30:10.277,00:30:13.527,chyron,Sen. TRENT LOTT\nMajority Whip
00:30:25.027,00:30:28.777,chyron,KWAME HOLMAN
00:31:13.277,00:31:17.027,chyron,Sen. PAUL WELLSTONE\n(D) Minnesota
00:31:39.027,00:31:42.277,chyron,"Rep. BOB LIVINGSTON\nChairman, Appropriations Committee"
00:31:53.777,00:31:57.777,chyron,Sen. TRENT LOTT\nMajority Whip
00:32:51.777,00:32:57.027,chyron,PAUL GIGOT\nWall Street Journal
00:34:00.027,00:34:03.527,chyron,MARK SHIELDS\nSyndicated Columnist
00:37:22.277,00:37:26.777,chyron,PAUL GIGOT\nWall Street Journal
00:38:47.277,00:38:52.777,chyron,MARK SHIELDS\nSyndicated Columnist
00:43:21.027,00:43:24.777,chyron,TERRY TEMPEST WILLIAMS\nEnvironmentalist
00:44:03.027,00:44:06.777,chyron,"Mayor PHILIP BIMSTEIN\nSpringdale, Utah"
00:44:48.527,00:44:52.027,chyron,LOUISE LISTON\nGarfield County Commissioner
00:45:59.277,00:46:00.527,chyron,ROGER HOLLAND\nCity Councilman
00:46:51.277,00:46:54.277,chyron,HARDY REDD
00:47:19.277,00:47:22.777,chyron,KEN SLEIGHT
00:48:58.277,00:49:01.777,chyron,LOUISE LISTON\nGarfield County Commissioner
00:49:28.027,00:49:30.277,chyron,Rep. JAMES HANSEN\n(R) Utah
00:49:55.277,00:49:58.777,chyron,JIM BACA
00:50:58.277,00:51:01.527,chyron,TERRY TEMPEST WILLIAMS\nEnvironmentalist
00:51:32.027,00:51:34.277,chyron,HARDY REDD
