start,end,scene-label,text-transcript
00:04:35.777,00:04:39.777,chyron,JOHN BLOCK\nSecretary of Agriculture
00:05:56.777,00:05:59.527,chyron,REP. THOMAS P. O'NEILL\nSpeaker of the House
00:08:36.527,00:08:40.527,chyron,RITA LAVELLE\nFormer E.P.A. Official
00:12:35.527,00:12:40.027,chyron,WALTER WARD\nN.Y.C. Councilman
00:13:05.777,00:13:11.027,chyron,MAYOR ED KOCH
00:14:12.027,00:14:15.027,chyron,GAR TRAYNOR\nFormer United Steward
00:15:23.527,00:15:27.527,chyron,"""ROBERT"""
00:15:57.777,00:16:02.277,chyron,DR. MATT NEWMAN\nAnti-AIDS Citizens Group
00:16:26.777,00:16:31.027,chyron,ELLEN FLEMING\nAnti-AIDS Citizens Group
00:17:00.527,00:17:05.527,chyron,CLAUDE LINDSEY\nAnti-AIDS Citizens Group
00:18:19.527,00:18:25.027,chyron,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
00:19:22.439,00:19:28.064,chyron,"MATHILDE KRIM, PhD.\nAIDS Medical Foundation"
00:21:02.777,00:21:06.027,chyron,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
00:24:09.777,00:24:16.277,chyron,DR. HELEN SINGER KAPLAN\nNew York Hospital
00:25:25.277,00:25:34.277,chyron,JOE TOM EASLEY\nCivil Rights Lawyer
00:28:16.777,00:28:22.527,chyron,JOE TOM EASLEY\nCivil Rights Lawyer
00:30:11.027,00:30:16.527,chyron,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
00:32:48.777,00:32:52.777,chyron,WILLIAM MAYER\nDefense Department
00:33:45.277,00:33:49.527,chyron,DR. HERBERT PERKIN\nIrwin Memorial Blood Bank\nSan Francisco
00:34:14.027,00:34:19.277,chyron,BOBBY REYNOLDS
00:34:39.527,00:34:43.027,chyron,PAUL CASTRO
00:35:43.277,00:35:50.027,chyron,DR. THOMAS VERNON\nColorado Health Dept.
00:38:20.777,00:38:27.027,chyron,DR. THOMAS VERNON\nColorado Health Dept.
00:40:45.527,00:40:51.777,chyron,JOE TOM EASLEY\nCivil Rights Lawyer
00:43:23.777,00:43:29.527,chyron,"MATHILDE KRIM, PHD.\nAIDS Medical Foundation"
00:44:04.027,00:44:08.027,chyron,DR. HELEN SINGER KAPLAN\nNew York Hospital
00:45:40.527,00:45:46.277,chyron,DR. THOMAS VERNON\nColorado Health Dept.
00:46:21.277,00:46:25.027,chyron,JOE TOM EASLEY\nCivil Rights Lawyer
00:49:48.777,00:49:53.277,chyron,"NEIL HARL\nEconomist, Iowa State University"
00:50:16.277,00:50:21.027,chyron,REP. JIM LEACH\n(R) Iowa
00:50:40.527,00:50:42.777,chyron,RAY POWELL\nFormer Loan Officer
00:51:21.277,00:51:26.277,chyron,TOM LANGEMEIER\nFormer Loan Officer
00:51:39.527,00:51:44.027,chyron,"DON WILKINSON\nGovernor, Farm Credit Administration"
00:52:24.277,00:52:28.777,chyron,KWAME HOLMAN
00:53:27.277,00:53:31.527,chyron,LEO TUCKER\nFarmer
00:53:37.527,00:53:41.277,chyron,DEBBIE HALL\nFarmer
00:54:17.527,00:54:20.777,chyron,REP. JIM LEACH\n(R) Iowa
00:55:11.777,00:55:16.277,chyron,"NEIL HARL\nEconomist, Iowa State University"
