start,end,scene-label,text-transcript
00:02:22.777,00:02:28.027,chyron,"WASHINGTON, DC\nDAMIAN PALETTA\nTHE WASHINGTON POST"
00:03:32.027,00:03:39.027,chyron,"WASHINGTON, DC\nDAMIAN PALETTA\nTHE WASHINGTON POST"
00:05:41.027,00:05:46.027,chyron,"WASHINGTON, DC\nDAMIAN PALETTA\nTHE WASHINGTON POST"
00:07:43.527,00:07:48.777,chyron,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
00:08:37.777,00:08:43.527,chyron,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
00:09:28.027,00:09:32.777,chyron,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
00:10:20.277,00:10:27.277,chyron,"WASHINGTON, DC\nNAHAL TOOSI\nPOLITICO"
00:11:14.777,00:11:18.027,chyron,HARI SREENIVASAN\n@HARI
00:12:48.027,00:12:51.777,chyron,KEVIN IRONS\nILLINOIS DEPT. OF NATURAL RESOURCES
00:14:21.277,00:14:25.277,chyron,JOEL BRAMMEIER\nALLIANCE FOR THE GREAT LAKES
00:16:04.027,00:16:07.527,chyron,CHUCK SHEA\nU.S. ARMY CORPS OF ENGINEERS
00:18:01.027,00:18:05.277,chyron,DEL WILKINS\nILLINOIS MARINE TOWING
00:18:52.027,00:18:55.527,chyron,LT. GOV. EVELYN SANGUINETTI\n(R) ILLINOIS
00:19:56.027,00:20:00.027,chyron,"CHARLIE GILPIN, JR.\nCOMMERCIAL FISHERMAN"
00:21:02.777,00:21:06.027,chyron,KEVIN IRONS\nILLINOIS DEPT. OF NATURAL RESOURCES
00:21:40.777,00:21:44.777,chyron,LT. GOV. EVELYN SANGUINETTI\n(R) ILLINOIS
